Time (s),power (dB),amplitude (real),amplitude (imag)
-4.187985408331372e-05,-56.47674036909655,4.558291948949343e-09,4.6482039948653516e-10
-4.185984937632384e-05,-56.56401815956073,-4.535744699646868e-09,-5.837842227741605e-11
-4.183984466933396e-05,-57.220362422019235,4.202823625043691e-09,-1.6295366719149872e-10
-4.181983996234408e-05,-58.01129750209196,-3.8397886958573815e-09,3.002601469019763e-11
-4.17998352553542e-05,-58.209983396064956,3.738631651563488e-09,3.288536262301104e-10
-4.177983054836432e-05,-57.6354023098057,-3.9624658358176466e-09,-6.138537578136004e-10
-4.1759825841374436e-05,-56.9076878210241,4.3175176245022315e-09,6.082101331170498e-10
-4.1739821134384556e-05,-56.549923804247555,-4.531248333441343e-09,-3.3326043802967345e-10
-4.1719816427394675e-05,-56.71097588316877,4.4600186375280115e-09,9.947644667914831e-13
-4.1699811720404795e-05,-57.289803018757794,-4.169545701397075e-09,1.56726811878137e-10
-4.1679807013414914e-05,-57.948414260924665,3.867596586789549e-09,-4.031863170361149e-11
-4.165980230642504e-05,-58.16381100010295,-3.763731551872856e-09,-2.6530426851521416e-10
-4.163979759943516e-05,-57.71069119335482,3.9375031946754466e-09,5.456159316969753e-10
-4.161979289244528e-05,-56.99236593666714,-4.277229421791229e-09,-5.908514019621956e-10
-4.15997881854554e-05,-56.534953591060344,4.538019129910397e-09,3.4775982315592805e-10
-4.157978347846552e-05,-56.60741618335766,-4.513480310368911e-09,1.710061982120669e-11
-4.155977877147564e-05,-57.19850377502709,4.2105870452161866e-09,-2.247201582663937e-10
-4.153977406448576e-05,-57.945676380279565,-3.8674919390733085e-09,1.0894525199787072e-10
-4.151976935749588e-05,-58.16709763873635,3.76462328229398e-09,2.3000793551777447e-10
-4.1499764650505996e-05,-57.63108795164433,-3.980209501552743e-09,-5.01860854786901e-10
-4.1479759943516116e-05,-56.93546361076406,4.319641598818742e-09,4.799752543807505e-10
-4.1459755236526235e-05,-56.639385950431176,-4.492556490272015e-09,-1.9829423754142247e-10
-4.1439750529536354e-05,-56.88659922652084,4.369768157532007e-09,-9.242459634119695e-11
-4.141974582254648e-05,-57.478128012290796,-4.080006848499481e-09,1.5623677103723117e-10
-4.13997411155566e-05,-57.93127731768254,3.8753005384515865e-09,3.3497663355132543e-11
-4.137973640856672e-05,-57.821908226144416,-3.913114383274906e-09,-2.9940400998160567e-10
-4.135973170157684e-05,-57.292888822948896,4.1493478798044256e-09,4.245245257365893e-10
-4.133972699458696e-05,-56.80817736718964,-4.39919676226589e-09,-3.139639244880388e-10
-4.131972228759708e-05,-56.67357792509648,4.479060357133351e-09,4.2627896378948873e-11
-4.12997175806072e-05,-56.97453130280775,-4.3218049810010564e-09,2.061994287369304e-10
-4.127971287361732e-05,-57.601514577734065,4.017387982305945e-09,-2.5395224746370463e-10
-4.1259708166627436e-05,-58.17030753494646,-3.770020123084761e-09,4.159647208774978e-11
-4.1239703459637556e-05,-58.12896083804077,3.775713358766693e-09,3.0781114363615105e-10
-4.1219698752647675e-05,-57.42728983114375,-4.07090354208512e-09,-5.430512972741642e-10
-4.11996940456578e-05,-56.64937199758725,4.4680974751949416e-09,4.6048235788381393e-10
-4.117968933866792e-05,-56.30872493327081,-4.670677472586291e-09,-8.347770204973537e-11
-4.115968463167804e-05,-56.59541410835499,4.5080764387376945e-09,-3.246855702714296e-10
-4.113967992468816e-05,-57.40610725581632,-4.091207748461247e-09,4.6005381951506685e-10
-4.111967521769828e-05,-58.24201677609727,3.732256694713416e-09,-2.286030899473206e-10
-4.10996705107084e-05,-58.34861216620425,-3.68929626573309e-09,-1.7913320542838455e-10
-4.107966580371852e-05,-57.67539214180954,3.965297702932763e-09,4.549723194662817e-10
-4.105966109672864e-05,-56.92296268561773,-4.332081620990428e-09,-4.20951112062276e-10
-4.103965638973876e-05,-56.568750305049946,4.531445390683686e-09,1.41359558623981e-10
-4.1019651682748877e-05,-56.70217669150463,-4.4614605801899125e-09,1.657711367742017e-10
-4.0999646975758996e-05,-57.185132431952695,4.212108963734871e-09,-3.0414744619814855e-10
-4.0979642268769115e-05,-57.709994098182875,-3.969553996157878e-09,2.163464365269067e-10
-4.095963756177924e-05,-57.898927239882454,3.889897885420793e-09,7.988432213637813e-12
-4.093963285478936e-05,-57.616333357809424,-4.013540733987249e-09,-2.0048144339768373e-10
-4.091962814779948e-05,-57.132923548341125,4.2430057657670895e-09,2.1670276706505472e-10
-4.08996234408096e-05,-56.83291789612994,-4.397697507107408e-09,-3.5601042226911144e-11
-4.087961873381972e-05,-56.93801484198096,4.340049169453086e-09,-2.0629989827188e-10
-4.085961402682984e-05,-57.42030855905995,-4.099103013294513e-09,3.0273844499148e-10
-4.083960931983996e-05,-57.929626423942636,3.873258669526553e-09,-1.505123167530685e-10
-4.081960461285008e-05,-57.93006716969421,-3.873477428277852e-09,-1.394079307828332e-10
-4.07995999058602e-05,-57.354473493014495,4.129334789552225e-09,3.177157753439378e-10
-4.077959519887032e-05,-56.72934824586335,-4.44552549777218e-09,-2.1236298764090401e-10
-4.0759590491880436e-05,-56.506642833570425,4.564753183639243e-09,-1.142710225221454e-10
-4.0739585784890556e-05,-56.81243955626519,-4.388374403356693e-09,4.1784584320722065e-10
-4.071958107790068e-05,-57.487139028653786,4.050404395091821e-09,-4.801417941139465e-10
-4.06995763709108e-05,-58.09682027480875,-3.7922738712530134e-09,2.7571124638324604e-10
-4.067957166392092e-05,-58.163694369379925,3.772942878184023e-09,3.668657879385523e-11
-4.065956695693104e-05,-57.687008365518324,-3.9778934141316645e-09,-2.5376469396858765e-10
-4.063956224994116e-05,-57.08332219881831,4.264940414406992e-09,2.601444383021557e-10
-4.061955754295128e-05,-56.692670576316004,-4.468855172864039e-09,-7.155755281510744e-11
-4.05995528359614e-05,-56.651551697289165,4.486354399199002e-09,-1.960602059612453e-10
