Time (s),power (dB),amplitude (real),amplitude (imag)
-4.187985408331372e-05,-56.98933494276062,3.3323356406956524e-09,8.377605520719732e-11
-4.185984937632384e-05,-57.22941505070082,-3.242128923890211e-09,-5.000688306155929e-11
-4.183984466933396e-05,-57.457123205987244,3.157863427478847e-09,6.884494116944082e-11
-4.181983996234408e-05,-57.593521280851405,-3.1068668006307925e-09,-1.2549230640504095e-10
-4.17998352553542e-05,-57.596293995497035,3.102422609315406e-09,1.9280268183825818e-10
-4.177983054836432e-05,-57.48421992717368,-3.139476501356428e-09,-2.418142373875262e-10
-4.1759825841374436e-05,-57.324397316997846,3.197277408853682e-09,2.527253006149519e-10
-4.1739821134384556e-05,-57.19476059609346,-3.2478855858836317e-09,-2.221958010231184e-10
-4.1719816427394675e-05,-57.15235334989552,3.2672838791426097e-09,1.6426057854861637e-10
-4.1699811720404795e-05,-57.21861056306963,-3.2448663336006053e-09,-1.0455828707849976e-10
-4.1679807013414914e-05,-57.375384404958766,3.1877076060448796e-09,7.010090454043918e-11
-4.165980230642504e-05,-57.56678818110066,-3.1179972733087396e-09,-7.848607415619349e-11
-4.163979759943516e-05,-57.711669816954014,3.0646073414590556e-09,1.3065934112254075e-10
-4.161979289244528e-05,-57.734918205860595,-3.051976529466647e-09,-2.099922749126585e-10
-4.15997881854554e-05,-57.60888320837313,3.0905097915483026e-09,2.880628058674596e-10
-4.157978347846552e-05,-57.37187176724626,-3.1721276448666213e-09,-3.350017588620977e-10
-4.155977877147564e-05,-57.10492201549863,3.2726724236482318e-09,3.3055137783376525e-10
-4.153977406448576e-05,-56.89115525675385,-3.3603136522282764e-09,-2.717098242665796e-10
-4.151976935749588e-05,-56.78865309689806,3.40685491558164e-09,1.74107979545675e-10
-4.1499764650505996e-05,-56.8215133362163,-3.3977671002518313e-09,-6.660022215128534e-11
-4.1479759943516116e-05,-56.97912312373526,3.337256176485201e-09,-1.8928060200067174e-11
-4.1459755236526235e-05,-57.217241613927456,-3.2465303024051203e-09,5.876940022144993e-11
-4.1439750529536354e-05,-57.46351956626222,3.1559606317934848e-09,-4.5500589814353744e-11
-4.141974582254648e-05,-57.63636502495069,-3.0940846424616536e-09,-9.949750380541382e-12
-4.13997411155566e-05,-57.67982496153428,3.077540467740441e-09,8.294212766579612e-11
